File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\reportes_88.php,56,54,6,2,2,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\rubros.php,297,290,80,24,7,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\stock.php,538,520,127,42,17,1,1,15,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\sucursales.php,491,481,103,41,10,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\tarea_actualizar_pedido.php,50,48,7,3,2,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\tarea_reservar.php,103,99,21,8,4,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\tarea_vaciar.php,12,10,6,0,2,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\tipos_cuenta.php,304,296,79,24,8,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\tipos_transporte.php,394,385,115,35,9,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\transportes.php,304,297,77,26,7,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\usuarios.php,632,624,175,59,8,1,0,10,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\valor_stock.php,97,96,18,4,1,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections\zonas.php,304,296,79,24,8,1,0,3,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sql\dump.sql,1078,730,0,0,141,0,207,503,15,35
